Title,Location,Country,Date,JobID,Description,Requisition Type,Requisition Id,Job Schedule,Degree Level,Contract Type,Location Name,Apply Link
Executive - Compliance,"Karnataka, India",IN,2022-05-31,132,Statutory Remittance and Queries,Permanent,300000214002599,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/132/apply/email
Manager - Customer Success,"Hyderabad, Telangana, India",IN,2022-05-31,143,,Permanent,300000218262824,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/143/apply/email
Team Leader,India,IN,2022-05-31,188,,Permanent,300000275342945,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/188/apply/email
Recruitment - Consultant,"Mumbai, Maharashtra, India",IN,2022-05-31,205,,Temp,300000281426308,Full time,Some High School,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/205/apply/email
Account Manager,"New Delhi, Delhi, India",IN,2022-05-31,206,,Permanent,300000281569635,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/206/apply/email
Assistance Manager - Operations,"Delhi, India",IN,2022-05-31,207,,Permanent,300000281570349,Full time,Some High School,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/207/apply/email
Project Coordinator,India,IN,2022-05-31,215,,Permanent,300000286782508,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/215/apply/email
Recruitment - Consultant,"Delhi, India",IN,2022-05-31,225,,Permanent,300000288224558,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/225/apply/email
Associate Engineer,"Bangalore, Karnataka, India",IN,2022-05-31,234,,Permanent,300000294215671,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/234/apply/email
Senior Quality Analyst,"Bangalore, Karnataka, India",IN,2022-05-31,236,,Permanent,300000294314117,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/236/apply/email
